Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786414663,50,,Aggregated,0.900000,0.100000,17000,17000,18000,18000,18000,19000,19000,19000,26000,26000,26000,143,1,17000,15653.933345454563,7140.900500000043,26437.02179999991,644.3706293706293
1786414664,50,,Aggregated,0.900000,0.100000,17000,17000,18000,18000,18000,19000,19000,19000,26000,26000,26000,143,1,17000,15653.933345454563,7140.900500000043,26437.02179999991,644.3706293706293
1786414665,50,,Aggregated,0.900000,0.100000,17000,17000,18000,18000,18000,19000,19000,19000,26000,26000,26000,143,1,17000,15653.933345454563,7140.900500000043,26437.02179999991,644.3706293706293
1786414666,50,,Aggregated,0.900000,0.100000,17000,17000,18000,18000,18000,19000,19000,19000,26000,26000,26000,143,1,17000,15653.933345454563,7140.900500000043,26437.02179999991,644.3706293706293
1786414667,50,,Aggregated,0.900000,0.100000,17000,17000,18000,18000,18000,19000,19000,19000,26000,26000,26000,143,1,17000,15653.933345454563,7140.900500000043,26437.02179999991,644.3706293706293
1786414668,50,,Aggregated,0.900000,0.100000,17000,17000,18000,18000,18000,19000,19000,19000,26000,26000,26000,143,1,17000,15653.933345454563,7140.900500000043,26437.02179999991,644.3706293706293
1786414669,50,,Aggregated,0.900000,0.100000,17000,17000,18000,18000,18000,19000,19000,19000,26000,26000,26000,143,1,17000,15653.933345454563,7140.900500000043,26437.02179999991,644.3706293706293
1786414670,50,,Aggregated,2.700000,0.000000,17000,18000,18000,18000,19000,22000,22000,22000,26000,26000,26000,165,1,17000,16113.48210666668,7140.900500000043,26437.02179999991,644.9636363636364
1786414671,50,,Aggregated,2.700000,0.000000,17000,18000,18000,18000,19000,22000,22000,22000,26000,26000,26000,165,1,17000,16113.48210666668,7140.900500000043,26437.02179999991,644.9636363636364
1786414672,50,,Aggregated,2.700000,0.000000,17000,18000,18000,18000,19000,22000,22000,22000,26000,26000,26000,165,1,17000,16113.48210666668,7140.900500000043,26437.02179999991,644.9636363636364
1786414673,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
1786414674,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
1786414675,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
1786414676,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
1786414677,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
1786414678,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
1786414679,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
1786414680,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
1786414681,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
